OMNeT++ Discrete Event Simulation  (C) 1992-2021 Andras Varga, OpenSim Ltd.
Version: 5.7, build: 211004-1d27e5f35e, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Starting...

$ cd /home/veins/src/veins/examples/veins
$ opp_run -m -n .:../../src/veins --image-path=../../images -l ../../src/veins omnet.ini

Setting up Qtenv...

Loading NED files from .:  1
Loading NED files from ../../src/veins:  43

Loading images from '/home/veins/src/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/veins/src/omnetpp-5.7/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

Meu ID: 34 | Minha Posição: (82.2818,526.6,0) |  |  |  | Velocidade: 13.307 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.768,526.6,0) |  |  |  | Velocidade: 0.150612 | Aceleração: -13.1564 m/s²
Meu ID: 22 | Minha Posição: (373.555,526.6,0) |  |  |  | Velocidade: 13.5456 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (237.507,526.6,0) |  |  |  | Velocidade: 14.0042 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (96.2095,526.6,0) |  |  |  | Velocidade: 13.9277 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.796,526.6,0) |  |  |  | Velocidade: 0.0278508 | Aceleração: -13.8998 m/s²
Meu ID: 22 | Minha Posição: (387.743,526.6,0) |  |  |  | Velocidade: 14.1881 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (251.461,526.6,0) |  |  |  | Velocidade: 13.9532 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (109.319,526.6,0) |  |  |  | Velocidade: 13.1097 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (30.1,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -nan m/s²
Meu ID: 16 | Minha Posição: (516.797,526.6,0) |  |  |  | Velocidade: 0.00157116 | Aceleração: inf m/s²
Meu ID: 22 | Minha Posição: (401.557,526.6,0) |  |  |  | Velocidade: 13.8132 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (265.487,526.6,0) |  |  |  | Velocidade: 14.026 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (123.408,526.6,0) |  |  |  | Velocidade: 14.0892 | Aceleração: inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0.00123275 | Aceleração: -14.0879 m/s²
Meu ID: 22 | Minha Posição: (415.13,526.6,0) |  |  |  | Velocidade: 13.5735 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (279.769,526.6,0) |  |  |  | Velocidade: 14.2822 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (137.469,526.6,0) |  |  |  | Velocidade: 14.0608 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (31.8982,526.6,0) |  |  |  | Velocidade: 1.79817 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0.000182104 | Aceleração: -1.79799 m/s²
Meu ID: 22 | Minha Posição: (429.393,526.6,0) |  |  |  | Velocidade: 14.2625 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (293.208,526.6,0) |  |  |  | Velocidade: 13.4391 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (150.607,526.6,0) |  |  |  | Velocidade: 13.1375 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (35.7872,526.6,0) |  |  |  | Velocidade: 3.88907 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -3.88907 m/s²
Meu ID: 22 | Minha Posição: (443.234,526.6,0) |  |  |  | Velocidade: 13.8414 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (306.968,526.6,0) |  |  |  | Velocidade: 13.76 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (163.901,526.6,0) |  |  |  | Velocidade: 13.2943 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (41.3543,526.6,0) |  |  |  | Velocidade: 5.56705 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -5.56705 m/s²
Meu ID: 22 | Minha Posição: (456.532,526.6,0) |  |  |  | Velocidade: 13.2983 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (319.975,526.6,0) |  |  |  | Velocidade: 13.007 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (176.95,526.6,0) |  |  |  | Velocidade: 13.0495 | Aceleração: inf m/s²
Meu ID: 40 | Minha Posição: (48.2693,526.6,0) |  |  |  | Velocidade: 6.91504 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -6.91504 m/s²
Meu ID: 22 | Minha Posição: (470.099,526.6,0) |  |  |  | Velocidade: 13.5667 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (333.036,526.6,0) |  |  |  | Velocidade: 13.061 | Aceleração: -inf m/s²
Meu ID: 34 | Minha Posição: (190.134,526.6,0) |  |  |  | Velocidade: 13.183 | Aceleração: inf m/s²
Meu ID: 40 | Minha Posição: (57.7223,526.6,0) |  |  |  | Velocidade: 9.45295 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -9.45295 m/s²
Meu ID: 22 | Minha Posição: (483.708,526.6,0) |  |  |  | Velocidade: 13.6094 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (346.776,526.6,0) |  |  |  | Velocidade: 13.74 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (203.358,526.6,0) |  |  |  | Velocidade: 13.2242 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (68.8543,526.6,0) |  |  |  | Velocidade: 11.1321 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (516.799,526.6,0) |  |  |  | Velocidade: 0 | Aceleração: -11.1321 m/s²
Meu ID: 22 | Minha Posição: (496.393,526.6,0) |  |  |  | Velocidade: 12.6846 | Aceleração: inf m/s²
Meu ID: 28 | Minha Posição: (360.345,526.6,0) |  |  |  | Velocidade: 13.569 | Aceleração: inf m/s²
Meu ID: 34 | Minha Posição: (216.687,526.6,0) |  |  |  | Velocidade: 13.3293 | Aceleração: -inf m/s²
Meu ID: 40 | Minha Posição: (80.181,526.6,0) |  |  |  | Velocidade: 11.3267 | Aceleração: -inf m/s²
Meu ID: 22 | Minha Posição: (496.393,526.6,0) | ID do Vizinho: -1 | Posição do Vizinho: (516.799,526.6,0) | Distância Euclidiana: 20.406 m | Minha Velocidade: 12.6846 | Minha Aceleração: 5563.57 m/s²
